vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecodeid,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type
2,2015-02-23T06:24:18.000,2015-02-23T06:42:48.000,N,1,-73.954315185546875,40.787418365478516,-74.009208679199219,40.709278106689453,1,8.18,24.5,0,0.5,2,0,0.3,27.3,1,1
2,2015-02-20T15:43:02.000,2015-02-20T15:49:43.000,N,1,-73.99365234375,40.68206787109375,-74.001388549804688,40.677982330322266,3,0.82,6,0,0.5,0,0,0.3,6.8,2,1
2,2015-02-08T01:45:07.000,2015-02-08T01:58:34.000,N,1,-73.959182739257813,40.677658081054687,-73.951057434082031,40.710842132568359,1,2.81,12,0.5,0.5,3.32,0,0.3,16.62,1,1
2,2015-01-17T08:49:04.000,2015-01-17T08:52:15.000,N,1,-73.950714111328125,40.800533294677734,-73.947647094726563,40.809463500976563,1,0.71,4.5,0,0.5,0,0,0.3,5.3,2,1
2,2015-02-12T02:30:20.000,2015-02-12T02:36:31.000,N,1,-73.935897827148437,40.6998291015625,-73.940895080566406,40.721443176269531,1,1.63,7.5,0.5,0.5,1.1,0,0.3,9.9,1,1
2,2015-02-22T04:05:49.000,2015-02-22T04:30:10.000,N,1,-73.952392578125,40.726661682128906,-73.986404418945313,40.737258911132812,1,5.18,19.5,0.5,0.5,0,0,0.3,20.8,1,1
2,2015-02-20T10:52:41.000,2015-02-20T11:11:34.000,N,1,-73.944671630859375,40.834121704101563,-73.924415588378906,40.866588592529297,1,7.15,20.5,0,0.5,0,0,0.3,21.3,2,1
1,2015-02-24T10:07:34.000,2015-02-24T10:14:41.000,N,1,-73.877334594726563,40.737007141113281,-73.863052368164062,40.747528076171875,1,1.2,6.5,0,0.5,0,0,0.3,7.3,2,1
1,2015-02-20T09:15:25.000,2015-02-20T09:39:35.000,N,1,-73.903472900390625,40.745395660400391,-73.830665588378906,40.713783264160156,1,4.7,20,0,0.5,1.5,0,0.3,22.3,1,1
2,2015-01-18T11:51:57.000,2015-01-18T11:58:28.000,N,1,-73.862457275390625,40.749965667724609,-73.8580322265625,40.746940612792969,2,0.42,5.5,0,0.5,0,0,0.3,6.3,2,1
2,2015-01-01T12:09:48.000,2015-01-01T12:12:42.000,N,1,-73.953102111816406,40.807693481445313,-73.950981140136719,40.814060211181641,1,0.76,4.5,0,0.5,1.12,0,0.3,6.42,1,1
2,2015-02-02T23:25:36.000,2015-02-02T23:45:47.000,N,1,-73.959312438964844,40.653156280517578,-73.918045043945313,40.684719085693359,1,4.53,16.5,0.5,0.5,0,0,0.3,17.8,2,1
2,2015-01-10T15:20:51.000,2015-01-10T15:33:18.000,N,1,-73.889472961425781,40.755252838134766,-73.916030883789063,40.752418518066406,1,1.54,9.5,0,0.5,0,0,0.3,10.3,2,1
1,2015-02-25T09:18:58.000,2015-02-25T09:28:34.000,N,1,-73.939224243164063,40.805107116699219,-73.946357727050781,40.795604705810547,1,0.9,7.5,0,0.5,0,0,0.3,8.3,1,1
2,2015-02-12T21:41:31.000,2015-02-12T21:43:39.000,N,1,-73.917381286621094,40.825279235839844,-73.911697387695312,40.823825836181641,1,0.28,3.5,0.5,0.5,0,0,0.3,4.8,2,1
2,2015-01-18T19:05:11.000,2015-01-18T19:17:47.000,N,1,-73.957839965820312,40.717727661132813,-73.928306579589844,40.702163696289063,1,2.45,11,0,0.5,2.2,0,0.3,14,1,1
1,2015-02-28T23:31:51.000,2015-02-28T23:39:20.000,N,1,-73.958587646484375,40.734931945800781,-73.945632934570312,40.747882843017578,1,1.7,8,0.5,0.5,1.85,0,0.3,11.15,1,1
2,2015-02-14T00:31:59.000,2015-02-14T00:40:08.000,N,1,-73.883049011230469,40.737770080566406,-73.901458740234375,40.745742797851562,1,1.76,8.5,0.5,0.5,0,0,0.3,9.8,2,1
2,2015-02-27T23:23:55.000,2015-02-27T23:37:23.000,N,1,-73.971710205078125,40.693206787109375,-73.991447448730469,40.729610443115234,1,3.57,13.5,0.5,0.5,2.96,0,0.3,17.76,1,1
1,2015-02-21T11:30:32.000,2015-02-21T11:30:49.000,N,1,-73.958038330078125,40.658393859863281,-73.958015441894531,40.658332824707031,1,0,2.5,0,0.5,15,0,0.3,18.3,1,1
1,2015-02-24T19:47:33.000,2015-02-24T20:20:00.000,N,1,-73.922721862792969,40.817417144775391,-73.776359558105469,40.645111083984375,1,15.1,41.5,1,0.5,0,0,0.3,43.3,4,1
2,2015-02-22T14:18:34.000,2015-02-22T14:57:26.000,N,1,-73.922439575195313,40.743827819824219,-73.783378601074219,40.643764495849609,5,15.72,45.5,0,0.5,9.26,0,0.3,55.56,1,1
2,2015-01-03T22:26:08.000,2015-01-03T22:36:11.000,N,1,-73.870964050292969,40.734012603759766,-73.892890930175781,40.748863220214844,1,1.71,9,0.5,0.5,0,0,0.3,10.3,2,1
2,2015-02-19T13:31:25.000,2015-02-19T13:38:05.000,N,1,-73.975234985351563,40.681106567382813,-73.963829040527344,40.677906036376953,1,0.8,6,0,0.5,0,0,0.3,6.8,1,1
2,2015-02-26T20:13:21.000,2015-02-26T20:39:15.000,N,1,-73.967819213867188,40.710762023925781,-73.906959533691406,40.692882537841797,1,3.99,18,0.5,0.5,0,0,0.3,19.3,2,1
2,2015-02-19T23:47:03.000,2015-02-19T23:56:14.000,N,1,-73.891441345214844,40.746574401855469,-73.877311706542969,40.758338928222656,1,1.62,8.5,0.5,0.5,0,0,0.3,9.8,2,1
2,2015-02-25T16:02:49.000,2015-02-25T16:35:29.000,N,1,-73.961158752441406,40.671962738037109,-73.9481201171875,40.730846405029297,1,4.87,22.5,1,0.5,0,0,0.3,24.3,2,1
2,2015-02-28T20:58:10.000,2015-02-28T21:05:49.000,N,1,-73.937789916992188,40.812679290771484,-73.950576782226563,40.784034729003906,1,2.42,8.5,0.5,0.5,2.45,0,0.3,12.25,1,1
2,2015-01-29T09:17:31.000,2015-01-29T09:32:44.000,N,1,-73.991378784179688,40.694118499755859,-74.002349853515625,40.718860626220703,1,2.43,13,0,0.5,0,0,0.3,13.8,1,1
2,2015-02-10T17:38:53.000,2015-02-10T17:54:11.000,N,1,-73.973236083984375,40.678089141845703,-73.964859008789063,40.6336669921875,1,3.47,13.5,1,0.5,0,0,0.3,15.3,2,1
2,2015-02-21T14:59:21.000,2015-02-21T15:12:26.000,N,1,-73.84429931640625,40.721500396728516,-73.866981506347656,40.731395721435547,1,1.61,9.5,0,0.5,0,0,0.3,10.3,2,1
2,2015-02-12T20:12:21.000,2015-02-12T20:19:52.000,N,1,-73.945716857910156,40.800395965576172,-73.949485778808594,40.808494567871094,1,1.01,7,0.5,0.5,0,0,0.3,8.3,1,1
1,2015-02-24T13:44:18.000,2015-02-24T13:49:01.000,N,1,-73.949272155761719,40.827884674072266,-73.942108154296875,40.837631225585937,1,0.8,5.5,0,0.5,0.5,0,0.3,6.8,1,1
1,2015-02-15T14:08:15.000,2015-02-15T14:13:41.000,N,1,-73.981468200683594,40.690093994140625,-73.988868713378906,40.693611145019531,1,0.9,6,0,0.5,2,0,0.3,8.8,1,1
2,2015-02-26T06:17:07.000,2015-02-26T06:31:10.000,N,1,-73.945411682128906,40.833530426025391,-73.845672607421875,40.822322845458984,1,7.47,22,0,0.5,0,0,0.3,22.8,1,1
2,2015-02-07T21:49:52.000,2015-02-07T21:59:31.000,N,1,-73.980865478515625,40.685371398925781,-73.984039306640625,40.671970367431641,2,1.45,7.5,0.5,0.5,0,0,0.3,8.8,2,1
2,2015-02-05T19:41:02.000,2015-02-05T19:47:57.000,N,1,-73.861579895019531,40.833335876464844,-73.817367553710937,40.829750061035156,5,2.74,9.5,1,0.5,2.1,0,0.3,13.4,1,1
1,2015-02-14T09:53:41.000,2015-02-14T10:36:56.000,N,1,-73.880599975585937,40.741657257080078,-73.947502136230469,40.783943176269531,1,7.2,31,0,0.5,0,0,0.3,31.8,1,1
2,2015-02-07T00:39:16.000,2015-02-07T00:45:28.000,N,1,-73.914833068847656,40.763587951660156,-73.918891906738281,40.769481658935547,1,0.71,5.5,0.5,0.5,0,0,0.3,6.8,2,1
1,2015-02-28T18:00:32.000,2015-02-28T18:11:52.000,N,1,-73.957740783691406,40.717807769775391,-73.970916748046875,40.687728881835938,1,2.9,11,0,0.5,0,0,0.3,11.8,2,1
2,2015-01-10T01:08:15.000,2015-01-10T01:12:54.000,N,1,-73.887931823730469,40.747135162353516,-73.876663208007813,40.748092651367188,1,0.6,5,0.5,0.5,0,0,0.3,6.3,2,1
1,2015-02-17T08:11:19.000,2015-02-17T08:16:59.000,N,1,-73.905181884765625,40.777091979980469,-73.8955078125,40.769638061523438,1,1,5.5,0,0.5,1.55,0,0.3,7.85,1,1
2,2015-02-19T07:41:07.000,2015-02-19T07:43:44.000,N,1,-73.911842346191406,40.767898559570313,-73.919692993164062,40.758220672607422,1,0.79,4.5,0,0.5,1.06,0,0.3,6.36,1,1
2,2015-02-08T08:59:42.000,2015-02-08T09:11:11.000,N,1,-73.890769958496094,40.746997833251953,-73.858818054199219,40.756431579589844,1,2.21,10,0,0.5,0,0,0.3,10.8,2,1
2,2015-02-06T18:37:00.000,2015-02-06T18:59:41.000,N,1,-73.988639831542969,40.702556610107422,-73.978118896484375,40.726016998291016,2,3.99,17.5,1,0.5,4.82,0,0.3,24.12,1,1
2,2015-02-08T01:54:14.000,2015-02-08T02:13:37.000,N,1,-73.950736999511719,40.723682403564453,-73.998588562011719,40.734752655029297,1,4.86,18.5,0.5,0.5,0,0,0.3,19.8,2,1
1,2015-02-17T19:33:43.000,2015-02-17T19:46:27.000,Y,1,-73.941566467285156,40.787483215332031,-73.91925048828125,40.837043762207031,1,4.3,14.5,1,0.5,0,0,0.3,16.3,2,1
2,2015-01-17T18:56:36.000,2015-01-17T19:13:31.000,N,1,-73.945213317871094,40.747180938720703,-73.979606628417969,40.746246337890625,6,3.59,14.5,0,0.5,0,0,0.3,15.3,2,1
2,2015-01-17T12:09:02.000,2015-01-17T12:21:59.000,N,1,-73.915542602539063,40.765888214111328,-73.887405395507813,40.739620208740234,1,3.18,12.5,0,0.5,1,0,0.3,14.3,1,1
2,2015-02-08T20:59:59.000,2015-02-08T21:12:14.000,N,1,-73.92919921875,40.809734344482422,-73.926986694335938,40.867988586425781,1,5.35,17,0.5,0.5,0,0,0.3,18.3,2,1
2,2015-01-19T21:52:14.000,2015-01-19T22:02:56.000,N,1,-73.952018737792969,40.810466766357422,-73.942512512207031,40.786258697509766,1,2.44,10,0.5,0.5,1.5,0,0.3,12.8,1,1
2,2015-02-17T13:44:58.000,2015-02-17T14:11:08.000,N,1,-73.884429931640625,40.747707366943359,-73.817680358886719,40.700428009033203,1,5.52,21.5,0,0.5,0,0,0.3,22.3,2,1
2,2015-02-20T16:29:27.000,2015-02-20T16:39:36.000,N,1,-73.920295715332031,40.757465362548828,-73.924720764160156,40.771251678466797,1,1.41,8,1,0.5,0,0,0.3,9.8,2,1
1,2015-02-27T21:51:43.000,2015-02-27T22:06:40.000,N,1,-73.942649841308594,40.794296264648438,-73.941009521484375,40.824016571044922,1,2.8,12.5,0.5,0.5,0,0,0.3,13.8,2,1
1,2015-02-03T17:29:56.000,2015-02-03T17:41:42.000,N,1,-73.912689208984375,40.838245391845703,-73.898536682128906,40.834716796875,2,1.1,8.5,1,0.5,2.05,0,0.3,12.35,1,1
2,2015-02-27T16:33:38.000,2015-02-27T16:37:52.000,N,1,-73.844261169433594,40.721515655517578,-73.850791931152344,40.721118927001953,5,0.85,5,1,0.5,1.7,0,0.3,8.5,1,1
2,2015-02-27T17:12:40.000,2015-02-27T17:24:48.000,N,1,-73.901664733886719,40.831642150878906,-73.912193298339844,40.804706573486328,1,2.12,10,1,0.5,0,0,0.3,11.8,2,1
1,2015-02-21T11:17:17.000,2015-02-21T11:24:21.000,N,1,-73.9952392578125,40.679672241210938,-73.978630065917969,40.684455871582031,1,1.3,6.5,0,0.5,0,0,0.3,7.3,2,1
2,2015-02-22T19:36:50.000,2015-02-22T19:45:03.000,N,1,-73.932571411132812,40.795696258544922,-73.952621459960937,40.803089141845703,1,1.27,7,0,0.5,0,0,0.3,7.8,2,1
